#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-02-02;Autres;721;15;0;2.08;0.00;97.92
2022-02-02;Zimbabwe;229851;5350;0;2.33;0.00;97.67
2022-02-02;Zambie;305959;3921;0;1.28;0.00;98.72
2022-02-02;Afrique du Sud;3608307;95288;0;2.64;0.00;97.36
2022-02-02;Mayotte;36361;187;0;0.51;0.00;99.49
2022-02-02;Yémen;11061;2018;0;18.24;0.00;81.76
2022-02-02;Kosovo;210561;3027;0;1.44;0.00;98.56
2022-02-02;Samoa;33;0;0;0.00;0.00;100.00
2022-02-02;Vanuatu;7;1;0;14.29;0.00;85.71
2022-02-02;Viet Nam;2295494;37777;0;1.65;0.00;98.35
2022-02-02;Venezuela;487775;5454;0;1.12;0.00;98.88
2022-02-02;St-Vincent / Grenadines;7929;94;0;1.19;0.00;98.81
2022-02-02;Vatican;29;0;0;0.00;0.00;100.00
2022-02-02;Ouzbékistan;225110;1571;0;0.70;0.00;99.30
2022-02-02;Uruguay;679878;6513;0;0.96;0.00;99.04
2022-02-02;États-Unis;75355265;890939;0;1.18;0.00;98.82
2022-02-02;Ouganda;161940;3540;0;2.19;0.00;97.81
2022-02-02;Ukraine;4323009;107303;0;2.48;0.00;97.52
2022-02-02;Tanzanie;33230;789;0;2.37;0.00;97.63
2022-02-02;Taïwan;18903;851;0;4.50;0.00;95.50
2022-02-02;Trinité-et-Tobago;112019;3412;0;3.05;0.00;96.95
2022-02-02;Turquie;11722483;87614;0;0.75;0.00;99.25
2022-02-02;Tonga;1;0;0;0.00;0.00;100.00
2022-02-02;Tunisie;917814;26362;0;2.87;0.00;97.13
2022-02-02;Timor-Leste;20136;122;0;0.61;0.00;99.39
2022-02-02;Tadjikistan;17716;125;0;0.71;0.00;99.29
2022-02-02;Thaïlande;2456551;22207;0;0.90;0.00;99.10
2022-02-02;Togo;36531;268;0;0.73;0.00;99.27
2022-02-02;Tchad;7155;190;0;2.66;0.00;97.34
2022-02-02;Eswatini;68423;1375;0;2.01;0.00;97.99
2022-02-02;Syrie;51483;2992;0;5.81;0.00;94.19
2022-02-02;El Salvador;135109;3914;0;2.90;0.00;97.10
2022-02-02;Sao Tomé-et-Principe;5899;70;0;1.19;0.00;98.81
2022-02-02;Soudan du sud;16810;137;0;0.81;0.00;99.19
2022-02-02;Suriname;73956;1267;0;1.71;0.00;98.29
2022-02-02;Somalie;26067;1335;0;5.12;0.00;94.88
2022-02-02;Sénégal;85072;1949;0;2.29;0.00;97.71
2022-02-02;Saint-Marin;12884;109;0;0.85;0.00;99.15
2022-02-02;Sierra Leone;7623;125;0;1.64;0.00;98.36
2022-02-02;Slovaquie;1617288;17877;0;1.11;0.00;98.89
2022-02-02;Slovénie;745980;5893;0;0.79;0.00;99.21
2022-02-02;Singapour;359075;858;0;0.24;0.00;99.76
